Course No.,CRN,Course Title,CR.,Faculty,Days,From-To,Exam/Paper
LAWJ-351-05,(CRN #: 10450),Trial Practice,2,"Williams, Michael F.",R,3:30-5:30,SR
LAWJ-351-06,(CRN #: 25820),Trial Practice,2,"	Blanco, Kenneth A.  /  Stiglitz, Matthew R.",R,5:45-7:45,SR
LAWJ-351-07,(CRN #: 10452),Trial Practice,2,"Belcuore, Alfred",W,5:45-7:45,SR
LAWJ-351-08,(CRN #: 32234),Trial Practice,2,"	Greenberg, Mara Z.  /  Windom, Thomas P.",W,7:55-9:55,SR
LAWJ-351-17,(CRN #: 19556),Trial Practice,2,"	Duross, Charles E.  /  Kahn, Daniel  /  Koukios, James M.",M,5:45-7:45,SR
LAWJ-351-97,(CRN #: 10451),Trial Practice,2,"Connor, Deborah L.  /  Pasichow, Heidi M.",W,5:45-7:45,SR
LAWJ-780-08,(CRN #: 10623),U.S. and International Customs Law,2,"Chovanec, Richard F.",W,7:55-9:55,5/3C
LAWJ-3050-09,(CRN #: 33440),U.S. Employment Taxes,1,"Osi, Carlo C.",MTWRF,1:30-4:05,Paper
LAWJ-962-09,(CRN #: 29400),U.S. Export Controls and Economic Sanctions,2,"Linney, Barbara D. / Christensen, Larry E.",W,5:45-7:45,TK
LAWJ-1453-08,(CRN #: 33417),"Vatican City State, Holy See, and United Nations Seminar",1,"Orsy, Ladislas M.",R,10:00-12:00,Paper
LAWJ-401-08,(CRN #: 21825),"Venture Capital, Private Equity, and Entrepreneurial Transactions",2,"Kaden, Alan S. / Ansbacher, Richard I.",M,9:00-11:00,TK&SR
LAWJ-610-05,(CRN #: 33486),Week One Teaching Fellows,1,,MTWR,1:30-5:30,MTWR
LAWJ-2087-09,(CRN #: 31349),White Collar Crime and Securities Fraud,2,"Cass, Luke V.",M,7:55-9:55,TK
LAWJ-1075-05,(CRN #: 23873),Women and Immigration (FIELDWORK PRACTICUM),4,"Johnson-Firth, Lisa T. /  Ribe, Alexandra",T,3:30-5:30,Paper&SR
LAWJ-872-11,(CRN #: 25819),"World Trade Organization: Agreements, Negotiations & Disputes (Formerly: World Trade Organization: Texts of Agreements and the Doha Round of Negotiations)",2,"Christy, David S., Jr. / Townsend, David J.",R,5:45-7:45,5/10C
